,0,1,2,3,4,5,6,7,8,9
distance_km,0.49246974111204567,0.24714020674481535,-0.0997290976330051,-0.14817315238893092,-0.29384273449724674,-0.4316788439331485,-0.3433500226697863,0.040125032175907405,0.21248239751311349,0.3245564735762361
departure_minutes,-0.026575079097905078,-0.1593562361168307,0.0189732456628952,0.11369474422151642,-0.044305502057815374,0.09188752907084771,-0.030607421053893538,-0.035596444277659796,-0.11838865670934899,0.19027382035819454
arrival_minutes,0.10385059039100508,-0.09446198302142116,0.0026637800225405555,0.0630906229532263,-0.09078504581364955,-0.017915747116676324,-0.10460867212052741,-0.04292236798166467,-0.0659527817899882,0.24704160447715423
trip_duration_minutes,0.49208302608155263,0.22152584873196984,-0.059037220598385946,-0.1744307719872983,-0.183941929415831,-0.4031866916011815,-0.2864878735180727,-0.03355706244106015,0.1806524880299476,0.24638018671835904
departure_station_Baltimore,0.010696691834170833,-0.03846179989754712,0.0688165370285927,-0.021989638685459386,0.023677224461028323,-0.04749696553189139,-0.009627768526956373,-0.01720400122220502,0.039119738494325804,-0.007530017954058214
departure_station_Boston,-0.016821175949763033,0.006424944131271102,0.0068379037935108605,0.04047910639290771,-0.0065729630222538735,-0.012454871637814073,-0.05023201273913418,0.012085889191885222,-0.017451204004688595,0.03770438384407889
departure_station_Chicago,-0.05070920258119551,0.004871222553201942,0.024318328707124005,0.11743817042593166,-0.0012865898762500943,-0.03901103862946873,-0.0633665618245536,-0.025762331841426137,0.013985949700894026,0.019522053365742347
departure_station_New Haven,-0.03850739934766764,-0.015667092392262646,0.06499139417945983,-0.010258631781295862,-0.012477700506448523,0.0195310879283199,-0.0030744498406116098,-0.010653196433480816,-0.0033308351860947016,0.009446823380082155
departure_station_New York,-0.00938283405040608,-0.07112206275633917,0.05082056643004717,-0.02674521952405121,-0.0389307166594136,0.013581868702742998,-0.028596042009739864,0.08338473462335698,0.04309020604656615,-0.016100500802763467
departure_station_Newark,-0.005930059780185471,-0.012514382638558244,0.000468787815088483,-0.054820550816056544,0.0260939988234585,-0.028430863506034774,0.06308230842617411,0.007927400890030462,-0.0482913945575712,0.0524147553436546
departure_station_Philadelphia,0.07060294819060892,-0.03493513145872568,-0.01879696254886554,-0.08127955968448106,-0.0520666648659533,0.09468285959088074,0.012179081422351244,-0.009243480915596515,0.04354743879667721,-0.024690528526895864
departure_station_Providence,-0.019372657373724393,-0.06805981867529318,0.019179221917932983,0.04332521671747341,-0.05960327924396139,-0.028505554702996084,0.019634085674584124,0.016387144754532616,0.06285888466100774,0.014156756270444092
departure_station_Trenton,0.0183194222997736,0.023448418616643717,0.02348956094016009,-0.03902188883275365,0.0052483269039322305,-0.025491640609192245,0.0017277578688091432,0.014912953429222038,-0.01912976417383122,-0.0035031464427636026
departure_station_Washington DC,-0.07946954199895477,-0.043935465621810804,-0.01016391624528289,0.04958143868878177,0.012778184498323552,-0.044681121780647384,-0.044604915146695345,0.03885908161506194,0.05163961783595145,0.06999663815527249
arrival_station_Baltimore,-0.04048083918669805,-0.018216591869419055,-0.005687695849536651,0.07132391443667406,0.024930427078045894,-0.10749634948528625,-0.012525882601940406,0.041301537205701865,-0.002822453809263803,0.04967393408172225
arrival_station_Boston,-0.013501773702353366,0.016685267838470182,-0.013856124754032438,-0.00863238520623765,0.01751311228221353,-0.02577169350597164,-0.00468126414599841,0.05764591551844492,0.03185025237615498,-0.057251306700690154
arrival_station_Chicago,-0.03509317445126985,-0.025321667286789626,0.0657452819565129,-0.06172599805912735,-0.06756971385804819,0.0202832231789555,-0.006151037801602961,-0.018428322478880942,0.05153968322669102,0.07672172557355943
arrival_station_New Haven,0.0008492477312923927,-0.023441929088707437,-0.04423452216016248,-0.0073256314505883244,0.04927798615450056,-0.06254380421760854,0.013190156918417115,-0.01968311008590437,0.021164552784750604,0.07274705341401039
arrival_station_New York,0.0025611015232595534,0.002389225124954112,-0.02541852476659567,0.038817296362991395,-0.05296722271467836,0.01919879249221185,-0.009418338877051494,-0.007521331280937483,-0.013489805778740621,0.04584880791458696
arrival_station_Newark,-0.008891504836897287,-0.014992090587361838,-0.0028054864101567443,0.012372238504803103,-0.0496510682808262,0.015398148360125737,-0.02768908315890613,0.04006255269672669,0.018052465279432734,0.018143828433059915
arrival_station_Philadelphia,-2.202274007694351e-05,-0.06406829664376139,0.0805438539622105,-0.03131151065221431,-0.0002811295967725244,0.021119625083536014,-0.02004782987836467,-0.04210437006862451,0.027182214814484275,0.02898946571958369
arrival_station_Providence,-0.00893413494914207,-0.020263578491464002,0.06809918949109892,-0.03801464742055482,0.0038454632351400727,-0.0359590126511743,-0.0011176035351817607,0.029206357287306448,0.020369724706156295,-0.017231757672184857
arrival_station_Trenton,0.03573196220086714,-0.05001239941145997,0.0651083919462813,-0.016808762575954324,-0.027245057152280486,0.0024182967022764942,-0.04255731902478989,0.01223414251107387,0.039876356972310956,-0.018745612168324908
arrival_station_Washington DC,-0.052792670346325524,-0.052709107723880884,0.04246705860214788,0.058013928961205455,-0.0009929766348323738,0.05507653386683356,0.008119685409646357,0.01798082278647452,-0.027684352958739895,-0.04747892196252922
day_of_week_Friday,0.10874152250789325,0.0013445924425565356,0.11695172852640838,-0.01867177900110772,-0.05842792988969256,-0.06576753121700343,0.05191314194519793,-0.02008804780987334,0.010436674095998189,-0.12643237160037715
day_of_week_Monday,0.04290836238813026,-0.08492488955846664,0.13392770886425795,0.03914246609200029,-0.013996455322446285,-0.012856834919695045,-0.031988316434907994,-0.003123605856678947,-0.04845009697285999,-0.020638338279333476
day_of_week_Saturday,-0.15781968159053267,-0.09506975486394124,-0.06804119625978054,-0.039549699928299584,0.059992208105475356,0.014939717842524234,-0.07105879433040888,-0.010529042950330022,0.037974662846827545,0.3291615811284666
day_of_week_Sunday,-0.1641957445814542,-0.10418554497751074,-0.06565619265134694,-0.00020641638145603856,0.03230426285861117,0.07415709170771351,-0.03644388194719648,-0.031117187244960903,0.04540118316988009,0.24994243004772054
day_of_week_Thursday,0.026854835782931206,0.0654047815444853,0.08219980668818602,-0.03455311202110987,-0.07181778412282488,-0.08115452179655615,-0.006360826977434621,0.04930838832861066,0.07306008923055288,-0.10294165665684049
day_of_week_Tuesday,-0.007370622994722189,-0.022261911014907557,-0.01815014252653655,0.07236887553995339,-0.007725371645400328,-0.012155338320114683,-0.017275540601206743,0.059578708779884644,0.06760399935548068,-0.11461265657243079
day_of_week_Wednesday,0.030307519730410713,-0.010258441711636049,0.048729709376579486,-0.0018218913989830688,-0.0434691094712609,-0.01543882347296986,0.008335701650184433,0.06666498084472902,-0.01998787411264298,-0.06306177143441055
train_type_Express,0.3563373212674354,0.12872785358614094,0.7566898215512514,0.46996848105023964,0.21361745457703493,-0.11171986020748827,-0.32686905248563153,-0.4540080943903911,-0.4890591507259945,-0.543684774222596
train_type_Local,-0.47691113002477836,-0.37867902172556067,-0.5267283995334866,-0.4532600381492427,-0.31675763406457247,0.013443620031387184,0.22399053578985992,0.5647022884817722,0.6550977883392306,0.6951019908553902
